reporting_year,lea_name,school_code,school_name,sbe_region,spg_grade,spg_score,eg_score,eg_status,ach_score,rdgs_ach_score,mags_ach_score,cgrs_score
2015,Durham Public Schools,320323,Durham School of the Arts,north central,B,81,100.0,Exceeded,77,69,65,95
2015,Johnston County Schools,510376,Princeton High,north central,C,69,91.2,Exceeded,63,59,49,91
2015,Charter Schools,19B000,Woods Charter,north central,A+NG,89,83.4,Met,91,92,86,95
2015,Charter Schools,32D000,Kestrel Heights School,north central,C,67,85.5,Exceeded,62,64,56,74
2015,Charter Schools,32L000,Voyager Academy,north central,B,71,75.1,Met,70,72,66,95
2015,Charter Schools,51A000,Neuse Charter School,north central,B,76,87.1,Exceeded,73,76,64,82
2015,Charter Schools,64A000,Rocky Mount Preparatory,north central,D,40,56.7,NotMet,36,38,19,77
2015,Charter Schools,73B000,Roxboro Community School,north central,A+NG,85,90.9,Exceeded,84,82,75,94
2015,Charter Schools,92F000,Franklin Academy,north central,B,83,87.8,Exceeded,82,80,74,95
2015,Charter Schools,92G000,East Wake Academy,north central,B,78,89.0,Exceeded,76,75,65,87
2015,Charter Schools,92P000,Southern Wake Academy,north central,B,71,82.2,Met,68,61,48,89
2015,Charter Schools,93A000,Haliwa-Saponi Tribal School,north central,D,47,87.3,Exceeded,37,35,16,95
2015,Dare County Schools,280304,Cape Hatteras Secondary School,northeast,C,56,53.3,NotMet,57,50,37,91
2015,Weldon City Schools,422310,Roanoke Valley Early College,northeast,B,77,80.5,Met,77,90,55,95
2015,Hyde County Schools,480316,Ocracoke School,northeast,A,86,80.1,Met,87,85,90,95
2015,Hyde County Schools,480318,Mattamuskeet Early College High,northeast,D,50,82.2,Met,42,35,29,94
2015,Washington County Schools,940308,Creswell High,northeast,C,58,74.5,Met,54,52,31,93
2015,Charter Schools,58B000,Bear Grass,northeast,C,59,63.7,NotMet,58,56,49,90
2015,Charter Schools,66A000,Gaston College Preparatory,northeast,B,78,87.6,Exceeded,76,69,69,89
2015,Hickory City Schools,181318,Hickory Career Arts Magnet High School,northwest,D,45,54.0,NotMet,43,5,5,84
2015,Charter Schools,06B000,Williams Academy,northwest,D,46,71.5,Met,39,47,20,78
2015,Forsyth County Schools,340488,J F Kennedy High,piedmont triad,D,49,90.9,Exceeded,38,25,16,80
2015,Forsyth County Schools,340568,Winston-Salem Preparatory Acad,piedmont triad,F,36,64.0,NotMet,30,16,15,87
2015,Guilford County Schools,410391,Penn-Griffin Schools,piedmont triad,C,56,59.0,NotMet,55,48,38,95
2015,Charter Schools,01B000,River Mill Academy,piedmont triad,B,72,72.0,Met,71,78,61,95
2015,Charter Schools,01C000,Clover Garden,piedmont triad,B,71,83.5,Met,68,68,56,90
2015,Charter Schools,01D000,The Hawbridge School,piedmont triad,B,81,77.1,Met,82,83,77,88
2015,Charter Schools,34B000,Quality Education Academy,piedmont triad,C,56,82.9,Met,49,39,43,91
2015,Charter Schools,34D000,Carter G Woodson School,piedmont triad,D,40,83.9,Met,29,25,22,67
2015,Charter Schools,41F000,Triad Math and Science Academy,piedmont triad,C,69,87.7,Exceeded,64,68,62,79
2015,Charter Schools,24B000,Flemington Academy,sandhills,F,33,76.2,Met,23,16,5,80
2015,Duplin County Schools,310364,North Duplin Jr Sr High,southeast,D,54,56.1,NotMet,54,44,35,88
2015,Wayne County Public Schools,960386,Spring Creek High,southeast,D,53,69.4,NotMet,49,40,30,81
2015,Wayne County Public Schools,960700,Wayne School of Engineering,southeast,B,83,81.4,Met,84,86,72,95
2015,Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,southwest,D,44,74.9,Met,37,30,24,86
2015,Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,southwest,C,55,85.1,Exceeded,48,42,40,95
2015,Charlotte-Mecklenburg Schools,600482,Northwest School of the Arts,southwest,B,84,100.0,Exceeded,80,76,70,95
2015,Charter Schools,36B000,Piedmont Community Charter School,southwest,B,71,79.1,Met,69,71,63,95
2015,Charter Schools,49E000,Pine Lake Preparatory,southwest,A+NG,85,84.4,Met,86,84,81,95
2015,Charter Schools,55A000,Lincoln Charter School,southwest,B,82,81.4,Met,83,83,79,95
2015,Charter Schools,60C000,Kennedy Charter,southwest,F,33,68.6,NotMet,25,25,15,67
2015,Charter Schools,60D000,Lake Norman Charter,southwest,A,86,88.5,Exceeded,86,80,78,95
2015,Charter Schools,60G000,Queen's Grant Community School,southwest,B,73,77.4,Met,72,75,71,92
2015,Charter Schools,60I000,Community School of Davidson,southwest,A+NG,86,71.2,Met,86,83,82,95
2015,Charter Schools,90A000,Union Academy,southwest,B,77,66.3,NotMet,79,82,68,95
2015,Jackson County Schools,500302,Blue Ridge Early College,western,C,60,66.2,NotMet,58,64,40,95
2015,Macon County Schools,560324,Highlands School,western,B,72,83.3,Met,69,64,56,95
2015,Macon County Schools,560332,Nantahala School,western,C,61,72.3,Met,59,63,38,95
2015,Charter Schools,81A000,Thomas Jefferson Class Academy,western,A+NG,86,70.5,Met,86,86,79,95
2016,Durham Public Schools,320323,Durham School of the Arts,north central  ,B,82,99.5,Exceeded,77,69,67,94
2016,Johnston County Schools,510376,Princeton High,north central  ,B,70,85.4,Exceeded,67,64,57,91
2016,Charter Schools,19A000,Chatham Charter,north central  ,B,78,84.4,Met,76,76,70,86
2016,Charter Schools,19B000,Woods Charter,north central  ,A+NG,86,71.5,Met,89,88,86,84
2016,Charter Schools,32D000,Kestrel Heights School,north central  ,C,63,73.2,Met,60,60,57,73
2016,Charter Schools,32L000,Voyager Academy,north central  ,B,77,86.1,Exceeded,75,74,69,95
2016,Charter Schools,51A000,Neuse Charter School,north central  ,B,75,84.6,Met,73,75,68,88
2016,Charter Schools,64A000,Rocky Mount Preparatory,north central  ,D,49,87.8,Exceeded,39,41,28,89
2016,Charter Schools,73B000,Roxboro Community School,north central  ,B,82,77.2,Met,84,84,73,95
2016,Charter Schools,92F000,Franklin Academy,north central  ,B,75,60.0,NotMet,79,75,72,87
2016,Charter Schools,92G000,East Wake Academy,north central  ,B,78,82.2,Met,77,74,67,95
2016,Charter Schools,92P000,Southern Wake Academy,north central  ,C,62,67.6,NotMet,61,52,45,82
2016,Charter Schools,93A000,Haliwa-Saponi Tribal School,north central  ,F,37,62.3,NotMet,31,22,18,69
2016,Dare County Schools,280304,Cape Hatteras Secondary School,northeast  ,C,62,68.9,NotMet,60,58,44,93
2016,Weldon City Schools,422310,Roanoke Valley Early College,northeast  ,B,73,80.5,Met,71,63,26,88
2016,Hyde County Schools,480316,Ocracoke School,northeast  ,B,79,68.4,NotMet,81,78,85,95
2016,Hyde County Schools,480318,Mattamuskeet Early College High,northeast  ,C,60,81.3,Met,54,47,27,89
2016,Washington County Schools,940308,Creswell High,northeast  ,D,53,61.1,NotMet,51,47,19,94
2016,Charter Schools,58B000,Bear Grass Charter School,northeast  ,C,65,69.1,NotMet,64,59,61,89
2016,Charter Schools,66A000,Gaston College Preparatory,northeast  ,B,73,83.7,Met,70,63,60,90
2016,Charter Schools,06B000,Williams Academy,northwest  ,D,50,82.9,Met,42,35,29,69
2016,Forsyth County Schools,340488,J F Kennedy High,piedmont triad  ,D,53,90.1,Exceeded,44,18,15,89
2016,Forsyth County Schools,340568,Winston-Salem Preparatory Acad,piedmont triad  ,D,43,81.0,Met,33,23,13,91
2016,Guilford County Schools,410391,Penn-Griffin Schools,piedmont triad  ,C,63,82.3,Met,58,50,38,95
2016,Charter Schools,01B000,River Mill Academy,piedmont triad  ,B,74,88.2,Exceeded,71,77,65,95
2016,Charter Schools,01C000,Clover Garden,piedmont triad  ,B,78,90.9,Exceeded,74,67,68,94
2016,Charter Schools,01D000,The Hawbridge School,piedmont triad  ,B,74,58.9,NotMet,78,81,70,82
2016,Charter Schools,34B000,Quality Education Academy,piedmont triad  ,C,64,92.3,Exceeded,56,44,54,92
2016,Charter Schools,34D000,Carter G Woodson School,piedmont triad  ,D,43,88.0,Exceeded,31,25,22,67
2016,Charter Schools,41F000,Triad Math and Science Academy,piedmont triad  ,C,64,71.1,Met,63,67,61,86
2016,Charter Schools,76A000,Uwharrie Charter Academy,piedmont triad  ,C,64,66.2,NotMet,63,71,45,86
2016,Charter Schools,09A000,Paul R Brown Leadership Academy,sandhills  ,D,40,73.2,Met,32,37,6,75
2016,Charter Schools,24B000,Flemington Academy,sandhills  ,D,46,68.8,NotMet,40,35,5,79
2016,Duplin County Schools,310364,North Duplin Jr Sr High,southeast  ,C,61,70.1,Met,58,57,33,92
2016,Wayne County Public Schools,960700,Wayne School of Engineering,southeast  ,B,82,82.5,Met,82,86,71,95
2016,Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,southwest  ,D,45,72.2,Met,38,35,23,85
2016,Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,southwest  ,D,51,70.1,Met,46,42,37,95
2016,Charlotte-Mecklenburg Schools,600482,Northwest School of the Arts,southwest  ,B,84,95.4,Exceeded,81,78,74,95
2016,Charter Schools,13A000,Carolina International School,southwest  ,C,59,62.1,NotMet,58,65,50,62
2016,Charter Schools,36B000,Piedmont Community Charter School,southwest  ,C,69,67.3,NotMet,69,71,64,93
2016,Charter Schools,36C000,Mountain Island Charter School,southwest  ,B,76,84.9,Met,73,73,70,87
2016,Charter Schools,49E000,Pine Lake Preparatory,southwest  ,A+NG,86,86.7,Exceeded,86,84,85,94
2016,Charter Schools,55A000,Lincoln Charter School,southwest  ,B,77,56.5,NotMet,82,81,79,95
2016,Charter Schools,60C000,Kennedy Charter,southwest  ,F,33,71.1,Met,23,26,16,40
2016,Charter Schools,60D000,Lake Norman Charter,southwest  ,A,85,85.7,Exceeded,85,80,75,95
2016,Charter Schools,60G000,Queen's Grant Community School,southwest  ,C,68,59.0,NotMet,71,73,71,78
2016,Charter Schools,60I000,Community School of Davidson,southwest  ,A+NG,87,84.4,Met,87,85,84,95
2016,Charter Schools,60K000,Charlotte Secondary,southwest  ,C,55,78.3,Met,50,52,30,82
2016,Charter Schools,90A000,Union Academy,southwest  ,B,78,71.4,Met,80,83,72,95
2016,Jackson County Schools,500302,Blue Ridge Early College,western  ,C,58,73.1,Met,55,68,34,95
2016,Macon County Schools,560324,Highlands School,western  ,B,74,91.7,Exceeded,70,62,59,91
2016,Macon County Schools,560332,Nantahala School,western  ,C,62,80.9,Met,57,58,34,95
2016,Charter Schools,81A000,Thomas Jefferson Class Academy,western  ,B,83,69.9,NotMet,87,88,84,94
2016,Charter Schools,81B000,Lake Lure Classical Academy,western  ,C,66,72.2,Met,64,70,44,95
2017,Durham Public Schools,320314,The School for Creative Studies,north central,C,65,89.7,Exceeded,58,55,47,95
2017,Durham Public Schools,320323,Durham School of the Arts,north central,B,82,98.2,Exceeded,78,70,69,95
2017,Johnston County Schools,510376,Princeton High,north central,B,73,91.3,Exceeded,68,65,50,89
2017,Wake County Schools,920585,Wake Young Men's Leadership Academy,north central,B,78,76.3,Met,79,84,66,95
2017,Wake County Schools,920586,Wake Young Women's Leadership Academy,north central,A+NG,87,70.4,Met,87,88,83,95
2017,Charter Schools,19A000,Chatham Charter,north central,B,80,85.3,Exceeded,79,80,68,84
2017,Charter Schools,19B000,Woods Charter,north central,A+NG,90,79.5,Met,92,89,89,92
2017,Charter Schools,32D000,Kestrel Heights School,north central,C,60,60.1,NotMet,60,63,51,81
2017,Charter Schools,32L000,Voyager Academy,north central,B,80,91.4,Exceeded,77,77,69,95
2017,Charter Schools,33A000,North East Carolina Prep,north central,D,51,72.3,Met,46,46,36,91
2017,Charter Schools,39B000,Oxford Preparatory,north central,B,72,58.6,NotMet,76,72,53,95
2017,Charter Schools,51A000,Neuse Charter School,north central,B,70,61.5,NotMet,73,73,64,95
2017,Charter Schools,64A000,Rocky Mount Preparatory,north central,D,45,59.9,NotMet,41,42,28,81
2017,Charter Schools,73B000,Roxboro Community School,north central,A+NG,88,93.2,Exceeded,87,85,81,95
2017,Charter Schools,92F000,Franklin Academy,north central,B,83,89.1,Exceeded,81,79,72,95
2017,Charter Schools,92G000,East Wake Academy,north central,B,82,90.7,Exceeded,79,78,73,92
2017,Charter Schools,92P000,Southern Wake Academy,north central,C,68,78.8,Met,66,60,49,78
2017,Charter Schools,93A000,Haliwa-Saponi Tribal School,north central,D,44,81.8,Met,35,34,9,70
2017,Dare County Schools,280304,Cape Hatteras Secondary School,northeast,C,67,75.5,Met,65,61,47,92
2017,Hyde County Schools,480316,Ocracoke School,northeast,B,79,66.3,NotMet,82,79,80,94
2017,Hyde County Schools,480318,Mattamuskeet Early College High,northeast,C,58,70.6,Met,55,47,30,95
2017,Washington County Schools,940308,Creswell High,northeast,D,49,64.0,NotMet,45,46,22,91
2017,Charter Schools,58B000,Bear Grass Charter School,northeast,C,67,74.9,Met,65,59,58,87
2017,Charter Schools,66A000,Gaston College Preparatory,northeast,B,71,89.4,Exceeded,66,56,56,93
2017,Charter Schools,06B000,Williams Academy,northwest,D,50,88.3,Exceeded,41,30,38,55
2017,Forsyth County Schools,340488,J F Kennedy High,piedmont triad,C,55,94.4,Exceeded,46,20,20,87
2017,Forsyth County Schools,340568,Winston-Salem Preparatory Acad,piedmont triad,D,44,73.7,Met,37,30,19,95
2017,Guilford County Schools,410391,Penn-Griffin Schools,piedmont triad,C,61,80.3,Met,57,53,37,95
2017,Charter Schools,01B000,River Mill Academy,piedmont triad,C,67,64.7,NotMet,67,71,55,92
2017,Charter Schools,01C000,Clover Garden,piedmont triad,B,74,81.1,Met,72,65,66,95
2017,Charter Schools,01D000,The Hawbridge School,piedmont triad,B,77,64.9,NotMet,80,82,74,89
2017,Charter Schools,34B000,Quality Education Academy,piedmont triad,C,63,96.4,Exceeded,55,48,57,95
2017,Charter Schools,34D000,Carter G Woodson School,piedmont triad,D,45,84.7,Met,35,26,23,89
2017,Charter Schools,34H000,NC Leadership Charter Academy,piedmont triad,B,80,74.0,Met,82,83,75,95
2017,Charter Schools,41F000,Triad Math and Science Academy,piedmont triad,B,72,82.2,Met,69,69,62,93
2017,Charter Schools,76A000,Uwharrie Charter Academy,piedmont triad,C,65,54.0,NotMet,67,75,45,95
2017,Charter Schools,09A000,Paul R Brown Leadership Academy,sandhills,F,34,65.6,NotMet,26,23,6,71
2017,Charter Schools,24B000,Thomas Academy,sandhills,F,35,62.7,NotMet,28,26,11,60
2017,Duplin County Schools,310364,North Duplin Jr Sr High,southeast,C,69,91.5,Exceeded,63,50,42,86
2017,Wayne County Public Schools,960700,Wayne School of Engineering,southeast,A+NG,85,83.5,Met,85,87,64,95
2017,Charter Schools,69A000,Arapahoe Charter School,southeast,C,64,69.2,NotMet,62,67,57,95
2017,Charlotte-Mecklenburg Schools,600341,Cochrane Collegiate Academy,southwest,D,43,67.2,NotMet,37,33,24,78
2017,Charlotte-Mecklenburg Schools,600364,Military and Global Leadership Academy,southwest,D,50,62.9,NotMet,47,45,31,90
2017,Charlotte-Mecklenburg Schools,600482,Northwest School of the Arts,southwest,B,80,84.3,Met,79,72,69,95
2017,Charter Schools,13A000,Carolina International School,southwest,C,59,57.4,NotMet,59,62,46,95
2017,Charter Schools,36B000,Piedmont Community Charter School,southwest,B,74,81.1,Met,72,74,66,88
2017,Charter Schools,36C000,Mountain Island Charter School,southwest,B,74,73.2,Met,75,73,67,95
2017,Charter Schools,49E000,Pine Lake Preparatory,southwest,A+NG,86,83.8,Met,86,84,83,95
2017,Charter Schools,55A000,Lincoln Charter School,southwest,B,78,58.7,NotMet,83,83,79,95
2017,Charter Schools,60D000,Lake Norman Charter,southwest,A,89,97.4,Exceeded,87,83,77,95
2017,Charter Schools,60G000,Queen's Grant Community School,southwest,B,71,67.1,NotMet,72,72,70,91
2017,Charter Schools,60I000,Community School of Davidson,southwest,A+NG,85,76.1,Met,87,82,84,95
2017,Charter Schools,60K000,Charlotte Secondary,southwest,D,51,63.8,NotMet,48,39,24,74
2017,Charter Schools,60V000,Charlotte Learning Academy,southwest,F,38,69.5,NotMet,30,28,16,94
2017,Charter Schools,90A000,Union Academy,southwest,B,74,59.0,NotMet,78,80,68,95
2017,Jackson County Schools,500302,Blue Ridge Early College,western,C,61,73.0,Met,58,54,35,90
2017,Macon County Schools,560324,Highlands School,western,B,77,87.7,Exceeded,74,67,66,95
2017,Macon County Schools,560332,Nantahala School,western,B,80,83.9,Met,79,77,86,95
2017,Charter Schools,11C000,Invest Collegiate - Imagine,western,B,70,86.6,Exceeded,66,69,63,77
2017,Charter Schools,81A000,Thomas Jefferson Class Academy,western,B,82,65.4,NotMet,87,88,82,95
2017,Charter Schools,81B000,Lake Lure Classical Academy,western,B,71,85.1,Exceeded,67,70,54,87
2018,Durham Public Schools,320314,The School for Creative Studies,north central,C,62,80.4,Met,57.3,55.2,46.8,90.7
2018,Durham Public Schools,320323,Durham School of the Arts,north central,A,85,100.0,Exceeded,81,77,73.7,95
2018,Johnston County Schools,510376,Princeton High,north central,C,65,68.8,NotMet,64.3,58.1,50.6,94.6
2018,Charter Schools,19A000,Chatham Charter,north central,B,81,86.4,Exceeded,79.1,75.4,69.1,95
2018,Charter Schools,19B000,Woods Charter,north central,A,88,72.5,Met,91.6,92.2,90.1,93.6
2018,Charter Schools,32L000,Voyager Academy,north central,B,80,95.7,Exceeded,76.2,77.5,70.9,92.1
2018,Charter Schools,33A000,North East Carolina Prep,north central,C,59,95.2,Exceeded,49.5,51,42.3,82.1
2018,Charter Schools,39B000,Oxford Preparatory,north central,B,73,60.2,NotMet,76.6,76.7,55.7,89.3
2018,Charter Schools,51A000,Neuse Charter School,north central,B,72,77.3,Met,70.8,70.3,66,95
2018,Charter Schools,64A000,Rocky Mount Preparatory,north central,D,46,62.9,NotMet,41.3,38.7,26.8,94.9
2018,Charter Schools,73B000,Roxboro Community School,north central,A,87,85.7,Exceeded,86.8,81.4,83.9,95
2018,Charter Schools,92F000,Franklin Academy,north central,B,82,86.0,Exceeded,81,76.9,75,95
2018,Charter Schools,92G000,East Wake Academy,north central,B,77,80.4,Met,76.5,73.6,67.8,90.6
2018,Charter Schools,92P000,Southern Wake Academy,north central,C,64,65.6,NotMet,63.7,62.8,50,81.4
2018,Dare County Schools,280304,Cape Hatteras Secondary School,northeast,C,65,71.5,Met,63.6,66.7,55.8,94
2018,Washington County Schools,940308,Creswell High,northeast,C,58,80.6,Met,51.9,37.9,29.3,87.5
